Name,Attori coinvolti,SC,Servizi associati,Tipo
"Malfunzionamento della Dashboard ","Gestore delle segnalazioni  (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Gestore%20delle%20segnalazioni%2019a1100dcfbd81f8a69ee2817fe5d4f9.md), Tecnici di installazione specializzati  (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Tecnici%20di%20installazione%20specializzati%2019a1100dcfbd81fbb49fce0468817e0a.md)",1,Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md),Eccezionale
Malfunzionamento centralina IOT,"Assistenza stradale (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Assistenza%20stradale%2019a1100dcfbd8134b3ffee46388e2e1e.md), Forze dell’ordine (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Forze%20dell%E2%80%99ordine%2019a1100dcfbd8127b193c3b8ccd1e849.md), Conducente del veicolo   (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Conducente%20del%20veicolo%2019a1100dcfbd819996a8c51584c9ffde.md)",2,"Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md), Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md)",Eccezionale
Malfunzionamento del dispositivo.,"Gestore delle segnalazioni  (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Gestore%20delle%20segnalazioni%2019a1100dcfbd81f8a69ee2817fe5d4f9.md), Conducente del veicolo   (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Conducente%20del%20veicolo%2019a1100dcfbd819996a8c51584c9ffde.md), Assistenza stradale (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Assistenza%20stradale%2019a1100dcfbd8134b3ffee46388e2e1e.md), Tecnici di installazione specializzati  (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Tecnici%20di%20installazione%20specializzati%2019a1100dcfbd81fbb49fce0468817e0a.md)",3,"Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md), Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md)",Eccezionale
Corretto uso del dispositivo - esito negativo,Conducente del veicolo   (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Conducente%20del%20veicolo%2019a1100dcfbd819996a8c51584c9ffde.md),4,"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md), Controllo misurazione (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Controllo%20misurazione%2019a1100dcfbd8168a563ed39b9a87fcc.md)",Normale
Corretto uso del dispositivo e intervento dell’assistenza stradale e forze dell’ordine - esito positivo,"Gestore delle segnalazioni  (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Gestore%20delle%20segnalazioni%2019a1100dcfbd81f8a69ee2817fe5d4f9.md), Assistenza stradale (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Assistenza%20stradale%2019a1100dcfbd8134b3ffee46388e2e1e.md), Conducente del veicolo   (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Conducente%20del%20veicolo%2019a1100dcfbd819996a8c51584c9ffde.md), Forze dell’ordine (B%20Analisi%20dei%20Requisiti/Attori%20coinvolti%20nel%20sistema/Forze%20dell%E2%80%99ordine%2019a1100dcfbd8127b193c3b8ccd1e849.md)",5,"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md), Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md), Controllo misurazione (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Controllo%20misurazione%2019a1100dcfbd8168a563ed39b9a87fcc.md), Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md)",Normale
